
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v2.5.2)

2021-07-14 14:29:17.215  INFO 537484 --- [           main] b.o.p.trydecrypt.TryDecryptApplication   : Starting TryDecryptApplication v0.0.1-SNAPSHOT using Java 11.0.11 on TI-ELIAS-POLICENA-FEDORA-1 with PID 537484 (/home/elias/dev/ambiente/decrypt-bcvault/try-decrypt/target/try-decrypt-0.0.1-SNAPSHOT.jar started by elias in /home/elias/dev/ambiente/decrypt-bcvault/try-decrypt)
2021-07-14 14:29:17.217  INFO 537484 --- [           main] b.o.p.trydecrypt.TryDecryptApplication   : No active profile set, falling back to default profiles: default
2021-07-14 14:29:17.817  INFO 537484 --- [           main] b.o.p.trydecrypt.TryDecryptApplication   : Started TryDecryptApplication in 0.904 seconds (JVM running for 1.25)
Pass; Pin; Interactions; Reversed; Twice; base58; base64; length
1234;2341;170;false;false;false;false;239
1234;2341;1051;false;false;false;false;239
1234;2341;1366;false;false;false;false;239
1234;2341;1498;false;false;false;false;239
1234;2341;1532;false;false;false;false;239
1234;2341;1848;false;false;false;false;239
1234;2341;1871;false;false;false;false;239
1234;2341;1946;false;false;false;false;239
1234;2341;2173;false;false;false;false;239
1234;2341;2364;false;false;false;false;239
1234;2341;2626;false;false;false;false;239
1234;2341;2884;false;false;false;false;239
1234;2341;3221;false;false;false;false;239
1234;2341;3248;false;false;false;false;239
1234;2341;3343;false;false;false;false;239
1234;2341;3677;false;false;false;false;239
1234;2341;4840;false;false;false;false;239
1234;2341;5042;false;false;false;false;239
1234;2341;5108;false;false;false;false;239
1234;2341;5287;false;false;false;false;239
1234;2341;5666;false;false;false;false;239
1234;2341;6434;false;false;false;false;239
1234;2341;6489;false;false;false;false;239
1234;2341;6766;false;false;false;false;239
1234;2341;6800;false;false;false;false;239
1234;2341;6849;false;false;false;false;239
1234;2341;7076;false;false;false;false;239
1234;2341;7183;false;false;false;false;239
1234;2341;7571;false;false;false;false;239
1234;2341;7755;false;false;false;false;239
1234;2341;7909;false;false;false;false;239
1234;2341;8190;false;false;false;false;239
1234;2341;8239;false;false;false;false;239
1234;2341;8579;false;false;false;false;239
1234;2341;8910;false;false;false;false;239
1234;2341;9580;false;false;false;false;239
1234;2341;10106;false;false;false;false;239
1234;2341;10567;false;false;false;false;239
1234;2341;10958;false;false;false;false;239
1234;2341;11176;false;false;false;false;239
1234;2341;11528;false;false;false;false;239
1234;2341;11712;false;false;false;false;239
1234;2341;11909;false;false;false;false;239
1234;2341;12174;false;false;false;false;239
1234;2341;12582;false;false;false;false;239
1234;2341;12801;false;false;false;false;239
1234;2341;12965;false;false;false;false;239
1234;2341;13236;false;false;false;false;239
1234;2341;13541;false;false;false;false;239
1234;2341;13634;false;false;false;false;238
1234;2341;13914;false;false;false;false;239
1234;2341;14178;false;false;false;false;239
1234;2341;14623;false;false;false;false;239
1234;2341;14629;false;false;false;false;239
1234;2341;14928;false;false;false;false;239
1234;2341;15340;false;false;false;false;239
1234;2341;15401;false;false;false;false;239
1234;2341;15633;false;false;false;false;239
1234;2341;15961;false;false;false;false;239
1234;2341;16240;false;false;false;false;239
1234;2341;16276;false;false;false;false;239
1234;2341;16411;false;false;false;false;239
1234;2341;16756;false;false;false;false;239
1234;2341;16766;false;false;false;false;239
1234;2341;17060;false;false;false;false;239
1234;2341;17108;false;false;false;false;239
1234;2341;17743;false;false;false;false;239
1234;2341;17798;false;false;false;false;239
1234;2341;18511;false;false;false;false;239
1234;2341;18583;false;false;false;false;239
1234;2341;18645;false;false;false;false;239
1234;2341;18676;false;false;false;false;239
1234;2341;19004;false;false;false;false;239
1234;2341;19700;false;false;false;false;239
1234;2341;20207;false;false;false;false;239
1234;2341;20406;false;false;false;false;239
1234;2341;20857;false;false;false;false;239
1234;2341;20912;false;false;false;false;239
1234;2341;20950;false;false;false;false;239
1234;2341;21209;false;false;false;false;239
1234;2341;21342;false;false;false;false;239
1234;2341;21711;false;false;false;false;239
1234;2341;21789;false;false;false;false;239
1234;2341;22094;false;false;false;false;239
1234;2341;22387;false;false;false;false;239
1234;2341;22405;false;false;false;false;239
1234;2341;22487;false;false;false;false;239
1234;2341;23307;false;false;false;false;239
1234;2341;23686;false;false;false;false;239
1234;2341;23798;false;false;false;false;239
